UCEAP/ Campus,Country,Program Title,Term,GPA,English-language instruction?,Sophomores?,UCEAP Program Type,Broad Field of Study,Internship: Required or Optional,Academic Year,Notes,
UCEAP,Ghana,"Community-Based Health, Food Security, and Development",Summer,2.50,yes,Yes,Themed,social science,No,2024-25,"was called University of Ghana summer until October 2018, name changed from Community Health and Sustainability in 2019",
UCEAP,Ghana,University of Ghana,Fall semester,2.85,yes,Yes,Immersion,open,Optional,2024-25,Grade comes from partner if UoG faculty oversees project,
UCEAP,Ghana,University of Ghana,Spring semester,2.85,yes,Yes,Immersion,open,Optional,2024-25,Grade comes from partner if UoG faculty oversees project,
UCEAP,Ghana,University of Ghana,Year,2.85,yes,Yes,Immersion,open,Optional,2024-25,Grade comes from partner if UoG faculty oversees project,
UCEAP,Hong Kong,CUHK,Fall semester,3.00,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,CUHK,Spring semester,3.00,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,CUHK,Year,3.00,Mixed,Yes,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,HKU,Fall semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,HKU,Spring semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,HKU,Year,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,HKUST,Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,HKUST,Year,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Hong Kong,Hong Kong Summer - CUHK,Summer,2.50,yes,Yes,International School,open,No,2024-25,name changed from ISS in 2019,
UCEAP,Hong Kong,Undergraduate Research - CUHK,Summer,2.85,yes,No,Research,open,No,2024-25, ,
UCEAP,Iceland,University of Iceland,Fall semester,2.85,Mixed,No,Immersion,open,No,2024-25, ,
UCEAP,Iceland,University of Iceland,Spring semester,2.85,Mixed,No,Immersion,open,No,2024-25, ,
UCEAP,Iceland,University of Iceland,Year,2.85,Mixed,No,Immersion,open,No,2024-25, ,
UCEAP,India,New Delhi Summer - New Delhi,Summer,2.50,yes,Yes,International School,interdisciplinary,No,2024-25,name changed from ISS in 2019,
UCEAP,Ireland,Dublin Summer Physics - University College Dublin,Summer,2.50,yes,Yes,Themed,physical science,No,2024-25, ,
UCEAP,Ireland,Irish Parlament Internship,Fall semester,3.00,yes,No,Intern,social science,Required,2024-25, ,
UCEAP,Ireland,Irish Parlament Internship,Spring semester,3.00,yes,No,Intern,social science,Required,2024-25, ,
UCEAP,Ireland,"National University of Ireland, Galway",Fall semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Ireland,"National University of Ireland, Galway",Spring semester,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Ireland,"National University of Ireland, Galway",Year,3.00,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Ireland,Trinity College Dublin,Fall semester,3.10,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Ireland,Trinity College Dublin,Spring semester,3.10,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Ireland,Trinity College Dublin,Year,3.10,yes,No,Immersion,open,No,2024-25, ,
UCEAP,Ireland,Univeristy College Dublin,Fall semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Ireland,Univeristy College Dublin,Spring semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Ireland,Univeristy College Dublin,Year,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Ireland,University College Cork,Fall semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Ireland,University College Cork,Spring semester,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Ireland,University College Cork,Year,3.00,yes,Yes,Immersion,open,No,2024-25, ,
UCEAP,Israel,Hebrew University of Jerusalem,Fall semester,2.85,Mixed,Yes,Immersion,open,Optional,2024-25,named changed from HUJ in 2019,
UCEAP,Israel,Hebrew University of Jerusalem,Spring semester,2.85,Mixed,Yes,Immersion,open,Optional,2024-25,named changed from HUJ in 2019,
UCEAP,Israel,Hebrew University of Jerusalem,Year,2.85,Mixed,Yes,Immersion,open,Optional,2024-25,named changed from HUJ in 2019,
UCEAP,Israel,"Israel Institute of Technology, Technion/Neubauer (internship + courses, course + internship)",Year,3.00,yes,No,Intern,engineering,Required,2024-25, ,
UCEAP,Israel,Summer at Hebrew University of Jerusalem,Summer,2.85,yes,Yes,Themed,interdisciplinary,No,2024-25,"named changed from HUJ in 2019, changed again in 2023",
UCEAP,Italy,"Art, Food and Society - UC Center Rome",Spring semester,2.00,Mixed,Yes,Themed,interdisciplinary,Optional,2024-25,"Internships are not available for academic credit, they are value added experience only",
UCEAP,Italy,"Art, Food and Society - UC Center Rome",Winter quarter,2.00,Mixed,Yes,Themed,interdisciplinary,No,2024-25, ,
UCEAP,Italy,Communication Studies in Rome,Fall semester,2.00,yes,Yes,Themed,social science,No,2024-25,Formerly All Roads Lead to Rome,
UCEAP,Italy,Crossroads of Culture in the Mediterranean,Summer,2.50,yes,Yes,Themed,interdisciplinary,No,2024-25, ,
UCEAP,Italy,Italian in Florence,Fall semester,2.00,Mixed,Yes,Language,humanities,No,2024-25,separated from Made in Rome in 2019,
UCEAP,Italy,Italian in Florence,Summer,2.00,Mixed,Yes,Language,humanities,No,2024-25,separated from Made in Rome in 2019,
UCEAP,Italy,"Made in Italy, Rome",Spring quarter,2.00,Mixed,Yes,Themed,interdisciplinary,Optional,2024-25, ,
UCEAP,Italy,"Made in Italy, Rome",Summer,2.00,Mixed,Yes,Themed,interdisciplinary,Optional,2024-25,cloned florence summer,
UCEAP,Italy,"Made in Italy: Language, Culture, Food and Business -UC Center Florence",Fall semester,2.00,Mixed,Yes,Themed,interdisciplinary,Optional,2024-25,"new elective courses, program title, was Florence L&C",
UCEAP,Italy,"Made in Italy: Language, Culture, Food and Business -UC Center Florence",Spring semester,2.00,Mixed,Yes,Themed,interdisciplinary,Optional,2024-25,"new elective courses, program title, was Florence L&C",
